GCA_009193595.1	Aspergillus bertholletiae
GCA_027569045.1	Aspergillus biplanus
GCF_001792695.1	Aspergillus bombycis
GCF_001889945.1	Aspergillus brasiliensis CBS 101740
GCA_027569665.1	Aspergillus bridgeri
GCF_003184695.1	Aspergillus brunneoviolaceus CBS 621.78
GCA_020284055.1	Aspergillus brunneus
GCF_009193585.1	Aspergillus caelatus
GCA_001511075.1	Aspergillus calidoustus
GCA_045785085.1	Aspergillus californicus
GCF_002847485.1	Aspergillus campestris IBT 28561
GCF_002847045.1	Aspergillus candidus
GCA_001990825.1	Aspergillus carbonarius ITEM 5010
GCA_025688815.1	Aspergillus carlsbadensis
GCA_044048685.1	Aspergillus cavernicola
GCA_004769165.1	Aspergillus cejpii
GCF_016861735.1	Aspergillus chevalieri
GCF_000002715.2	Aspergillus clavatus NRRL 1
GCA_027569095.1	Aspergillus conjunctus
GCA_009193565.1	Aspergillus coremiiformis
GCF_003184835.1	Aspergillus costaricaensis CBS 115574
GCA_037044115.1	Aspergillus costiformis
GCA_021436935.1	Aspergillus creber
GCA_044706195.1	Aspergillus cristatus
GCA_019828945.1	Aspergillus croceus
GCA_048571495.1	Aspergillus crustosus
GCA_027569695.1	Aspergillus cvjetkovicii
GCA_047715865.1	Aspergillus desertorum
GCA_027569885.1	Aspergillus diversus
GCA_025688805.1	Aspergillus egyptiacus
GCA_016097275.1	Aspergillus elegans
GCA_003184645.1	Aspergillus ellipticus CBS 707.79
GCF_003184535.1	Aspergillus eucalypticola CBS 122712
GCA_047715845.1	Aspergillus falconensis
GCA_016413765.1	Aspergillus felis
GCF_003184825.1	Aspergillus fijiensis CBS 313.89
GCA_047715815.1	Aspergillus filifer
GCF_000149645.3	Aspergillus fischeri NRRL 181
GCF_009017415.1	Aspergillus flavus
GCA_048565125.1	Aspergillus floccosus
GCA_012184565.1	Aspergillus floridensis
GCA_037044355.1	Aspergillus foetidus
GCF_047715535.1	Aspergillus foveolatus
GCA_027569115.1	Aspergillus fructus
GCA_047715895.1	Aspergillus fruticulosus
GCA_012656285.1	Aspergillus fumigatiaffinis
GCF_000002655.1	Aspergillus fumigatus Af293
GCA_027569145.1	Aspergillus funiculosus
GCA_045785125.1	Aspergillus germanicus
GCF_001890805.1	Aspergillus glaucus CBS 516.65
GCA_044048675.1	Aspergillus granulosus
GCA_027569155.1	Aspergillus haitiensis
GCA_001696595.2	Aspergillus hancockii
GCF_003184545.1	Aspergillus heteromorphus CBS 117.55
GCA_045784785.1	Aspergillus heterothallicus
GCA_014281905.1	Aspergillus hiratsukae
GCF_003184865.1	Aspergillus homomorphus CBS 101889
GCA_032158085.1	Aspergillus hortae
GCF_003184845.1	Aspergillus ibericus CBS 121593
GCA_003719405.1	Aspergillus incahuasiensis
GCA_003184685.1	Aspergillus indologenus CBS 114.80
GCA_045784725.1	Aspergillus insuetus
GCA_039880815.1	Aspergillus intermedius
GCF_003184785.1	Aspergillus japonicus CBS 114.51
GCA_021437015.1	Aspergillus jensenii
GCF_047715665.1	Aspergillus karnatakaensis
GCA_027569205.1	Aspergillus kassunensis
GCA_044089335.1	Aspergillus keveii
GCA_041684185.1	Aspergillus latus
GCF_010724455.1	Aspergillus lentulus
GCA_009176345.1	Aspergillus leporis
GCF_016861625.1	Aspergillus luchuensis
GCF_044049455.1	Aspergillus lucknowensis
GCF_016097325.1	Aspergillus melleus
GCA_039763685.1	Aspergillus micronesiensis
GCA_028505775.1	Aspergillus minisclerotigenes
GCA_020826735.1	Aspergillus montevidensis
GCF_047715735.1	Aspergillus multicolor
GCF_003369625.1	Aspergillus mulundensis
GCA_015844325.1	Aspergillus nanangensis
GCA_048626375.1	Aspergillus navahoensis
GCF_003184625.1	Aspergillus neoniger CBS 115656
GCA_023619815.1	Aspergillus neotritici
GCF_000011425.1	Aspergillus nidulans FGSC A4
GCF_000002855.4	Aspergillus niger
GCF_001204775.2	Aspergillus nomiae NRRL 13137
GCF_002847465.1	Aspergillus novofumigatus IBT 16806
GCA_009176405.1	Aspergillus novoparasiticus
GCF_002846915.1	Aspergillus ochraceoroseus IBT 24754
GCA_004849945.1	Aspergillus ochraceus
GCA_014250555.1	Aspergillus oerlinghausenensis
GCA_047715755.1	Aspergillus oleicola
GCA_003719415.1	Aspergillus olivimuriae
GCF_000184455.2	Aspergillus oryzae RIB40
GCA_025592935.1	Aspergillus ostianus
GCA_027569225.1	Aspergillus panamensis
GCA_028505765.1	Aspergillus parasiticus
GCA_002215965.1	Aspergillus persii
GCA_003344505.1	Aspergillus phoenicis ATCC 13157
GCF_003184755.1	Aspergillus piperis CBS 112811
GCA_037044195.1	Aspergillus pragensis
GCA_039880865.1	Aspergillus proliferans
GCA_021436995.1	Aspergillus protuberus
GCA_009193665.1	Aspergillus pseudocaelatus
GCF_044049435.1	Aspergillus pseudodeflectus
GCA_039880875.1	Aspergillus pseudoglaucus
GCF_009193645.1	Aspergillus pseudonomiae
GCF_009193445.1	Aspergillus pseudotamarii
GCA_002927005.1	Aspergillus pseudoterreus
GCA_044049465.1	Aspergillus pseudoustus
GCF_018340605.1	Aspergillus pseudoviridinutans
GCF_016861865.1	Aspergillus puulaauensis
GCA_022814375.1	Aspergillus quadricinctus
GCA_041684375.1	Aspergillus quadrilineatus
